plateId,plate,cell,species,vintage,winery,vineyard,fermRep,hour,timepoint,isolate,isolateId,C3.1,C3.2,C5.1,C5.2,C8.1,C8.2,C4.1,C4.2,O91.1,O91.2,AT4.1,AT4.2,SCAAT3.1,SCAAT3.2,OO9.1,OO9.2
T84Psetalpha,T84,pha,Sc,2013,OCP,"Juice, post-settling",,0,,,2013_OCP_Y/G_PS_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T84Psetbeta,T84,eta,Sc,2013,OCP,"Juice, post-settling",,0,,,2013_OCP_Y/G_PS_02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P08A05,P08,A05,Sc,2013,OCP,Red,1,19.3Bx,E,1,2013_OCP_Red1_19.3Bx_01,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08G04,P08,G04,Sc,2013,OCP,Red,1,22.3Bx,E,1,2013_OCP_Red1_22.3Bx_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P08B05,P08,B05,Sc,2013,OCP,Red,1,19.3Bx,E,2,2013_OCP_Red1_19.3Bx_02,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08H04,P08,H04,Sc,2013,OCP,Red,1,22.3Bx,E,2,2013_OCP_Red1_22.3Bx_02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P08C05,P08,C05,Sc,2013,OCP,Red,1,19.3Bx,E,3,2013_OCP_Red1_19.3Bx_03,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08D05,P08,D05,Sc,2013,OCP,Red,1,19.3Bx,E,4,2013_OCP_Red1_19.3Bx_04,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08E05,P08,E05,Sc,2013,OCP,Red,1,19.3Bx,E,5,2013_OCP_Red1_19.3Bx_05,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08F05,P08,F05,Sc,2013,OCP,Red,1,19.3Bx,E,6,2013_OCP_Red1_19.3Bx_06,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08G05,P08,G05,Sc,2013,OCP,Red,1,19.3Bx,E,7,2013_OCP_Red1_19.3Bx_07,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08H05,P08,H05,Sc,2013,OCP,Red,1,19.3Bx,E,8,2013_OCP_Red1_19.3Bx_08,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08A06,P08,A06,Sc,2013,OCP,Red,1,19.3Bx,E,9,2013_OCP_Red1_19.3Bx_09,121,124,122,122,149,149,258,261,274,274,291,291,394,394,416,425
P08B06,P08,B06,Sc,2013,OCP,Red,1,19.3Bx,E,10,2013_OCP_Red1_19.3Bx_10,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08C06,P08,C06,Sc,2013,OCP,Red,1,19.3Bx,E,11,2013_OCP_Red1_19.3Bx_11,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08D06,P08,D06,Sc,2013,OCP,Red,1,19.3Bx,E,12,2013_OCP_Red1_19.3Bx_12,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08E06,P08,E06,Sc,2013,OCP,Red,1,19.3Bx,E,13,2013_OCP_Red1_19.3Bx_13,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08F06,P08,F06,Sc,2013,OCP,Red,1,19.3Bx,E,14,2013_OCP_Red1_19.3Bx_14,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08G06,P08,G06,Sc,2013,OCP,Red,1,19.3Bx,E,15,2013_OCP_Red1_19.3Bx_15,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08H06,P08,H06,Sc,2013,OCP,Red,1,19.3Bx,E,16,2013_OCP_Red1_19.3Bx_16,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08A07,P08,A07,Sc,2013,OCP,Red,1,19.3Bx,E,17,2013_OCP_Red1_19.3Bx_17,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08B07,P08,B07,Sc,2013,OCP,Red,1,19.3Bx,E,18,2013_OCP_Red1_19.3Bx_18,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08C07,P08,C07,Sc,2013,OCP,Red,1,19.3Bx,E,19,2013_OCP_Red1_19.3Bx_19,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08D07,P08,D07,Sc,2013,OCP,Red,1,19.3Bx,E,20,2013_OCP_Red1_19.3Bx_20,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08A10,P08,A10,Sc,2013,OCP,Red,1,4.2Bx,L,1,2013_OCP_Red1_4.2Bx_01,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08B10,P08,B10,Sc,2013,OCP,Red,1,4.2Bx,L,2,2013_OCP_Red1_4.2Bx_02,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08C10,P08,C10,Sc,2013,OCP,Red,1,4.2Bx,L,3,2013_OCP_Red1_4.2Bx_03,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08D10,P08,D10,Sc,2013,OCP,Red,1,4.2Bx,L,4,2013_OCP_Red1_4.2Bx_04,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08E10,P08,E10,Sc,2013,OCP,Red,1,4.2Bx,L,5,2013_OCP_Red1_4.2Bx_05,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08F10,P08,F10,Sc,2013,OCP,Red,1,4.2Bx,L,6,2013_OCP_Red1_4.2Bx_06,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08G10,P08,G10,Sc,2013,OCP,Red,1,4.2Bx,L,7,2013_OCP_Red1_4.2Bx_07,121,121,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08H10,P08,H10,Sc,2013,OCP,Red,1,4.2Bx,L,8,2013_OCP_Red1_4.2Bx_08,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08A11,P08,A11,Sc,2013,OCP,Red,1,4.2Bx,L,9,2013_OCP_Red1_4.2Bx_09,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08B11,P08,B11,Sc,2013,OCP,Red,1,4.2Bx,L,10,2013_OCP_Red1_4.2Bx_10,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08C11,P08,C11,Sc,2013,OCP,Red,1,4.2Bx,L,11,2013_OCP_Red1_4.2Bx_11,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08D11,P08,D11,Sc,2013,OCP,Red,1,4.2Bx,L,12,2013_OCP_Red1_4.2Bx_12,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08E11,P08,E11,Sc,2013,OCP,Red,1,4.2Bx,L,13,2013_OCP_Red1_4.2Bx_13,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08F11,P08,F11,Sc,2013,OCP,Red,1,4.2Bx,L,14,2013_OCP_Red1_4.2Bx_14,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08G11,P08,G11,Sc,2013,OCP,Red,1,4.2Bx,L,15,2013_OCP_Red1_4.2Bx_15,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
