8,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
isolateId,popprId,C3,,C5,,C8,,C4,,O91,,AT4,,SCAAT3,,OO9,
2013_OCP_G18_332_13,Sc_2013_G_18_M,121,124,137,137,146,146,249,249,280,292,289,293,425,425,420,446
2013_OCP_G17_332_14,Sc_2013_G_17_M,121,121,151,163,146,149,261,261,301,317,293,293,380,403,420,452
2013_OCP_G18_332_14,Sc_2013_G_18_M,121,135,157,157,146,149,256,258,244,250,275,295,403,403,423,452
2013_OCP_G17_332_15,Sc_2013_G_17_M,121,121,151,163,146,149,261,261,301,317,293,293,380,403,420,452
2013_OCP_G16_332_15,Sc_2013_G_16_M,124,124,170,170,133,133,279,279,254,254,277,277,400,400,420,420
2013_OCP_G17_332_16,Sc_2013_G_17_M,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
2013_OCP_G17_332_17,Sc_2013_G_17_M,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
2013_OCP_G16_332_17,Sc_2013_G_16_M,124,124,170,170,133,133,279,279,254,254,277,277,400,400,420,420
2013_OCP_G17_332_18,Sc_2013_G_17_M,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
2013_OCP_G16_332_18,Sc_2013_G_16_M,124,124,170,170,133,133,279,279,254,254,277,277,400,400,420,420
2013_OCP_G17_332_19,Sc_2013_G_17_M,121,121,151,151,146,146,261,261,301,301,293,293,380,380,420,420
2013_OCP_G16_332_19,Sc_2013_G_16_M,124,124,170,170,133,133,279,279,254,254,277,277,400,400,420,420
2013_OCP_G17_332_20,Sc_2013_G_17_M,121,121,151,163,146,149,261,261,301,317,293,293,380,403,420,452
2013_OCP_G18_332_20,Sc_2013_G_18_M,121,124,137,137,146,146,249,249,280,292,289,293,425,425,420,446
2013_OCP_Y/G_PS_01,"Sc_2013_Juice, post-settling__",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013_OCP_Y/G_PS_02,"Sc_2013_Juice, post-settling__",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013_OCP_Red1_19.3Bx_01,Sc_2013_Red_1_E,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
