8,1545,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
isolateId,popprId,C3,,C5,,C8,,C4,,O91,,AT4,,SCAAT3,,OO9,
2016SB04_06,2016_OliverOsoyoos_SB_4_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB04_14,2016_OliverOsoyoos_SB_4_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB04_22,2016_OliverOsoyoos_SB_4_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB04_30,2016_OliverOsoyoos_SB_4_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB04_38,2016_OliverOsoyoos_SB_4_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB04_46,2016_OliverOsoyoos_SB_4_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB06_06,2016_OliverOsoyoos_SB_6_U_OK83,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
2016SB06_14,2016_OliverOsoyoos_SB_6_U_OK83,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
2016SB06_22,2016_OliverOsoyoos_SB_6_U_OK83,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
2016SB06_30,2016_OliverOsoyoos_SB_6_U_OK83,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
2016SB06_38,2016_OliverOsoyoos_SB_6_U_OK83,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
2016SB06_46,2016_OliverOsoyoos_SB_6_U_OK83,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
2016SB04_07,2016_OliverOsoyoos_SB_4_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB04_15,2016_OliverOsoyoos_SB_4_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB04_23,2016_OliverOsoyoos_SB_4_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB04_31,2016_OliverOsoyoos_SB_4_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB04_39,2016_OliverOsoyoos_SB_4_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB04_47,2016_OliverOsoyoos_SB_4_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB06_07,2016_OliverOsoyoos_SB_6_U_OK83,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
2016SB06_15,2016_OliverOsoyoos_SB_6_U_OK83,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
2016SB06_23,2016_OliverOsoyoos_SB_6_U_OK83,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
2016SB06_31,2016_OliverOsoyoos_SB_6_U_OK83,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
2016SB06_39,2016_OliverOsoyoos_SB_6_U_OK83,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
2016SB04_08,2016_OliverOsoyoos_SB_4_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
